"","X","id","data","n","model","acquisition","logloss","par1","par2","tau","beta","predloss"
"9988",1,95,"linear",90,"GP","Thompon",119.341730898809,6.75235380609726e+51,0.56547644534179,5.91522147314026,NA,0.323074815074402
"9989",1,95,"linear",90,"MEB","ProbOfImp",122.865905845037,2.29078812180878e+53,NA,148.317009424061,NA,0.0752118369441885
"9990",1,95,"linear",90,"KAL","ProbOfImp",122.865805922521,2.29055923193259e+53,22.698861118094,143.598529287972,NA,0.0751541692129516
"9991",1,95,"linear",90,"GP","ProbOfImp",122.22489475531,1.20669452826502e+53,8.63972977525245,6.66710406655326,NA,0.0847609693481088
"9992",1,95,"linear",90,"MEB","ExpectedImp",121.605064279906,6.49244662966741e+52,NA,12.4533749399887,NA,0.172877519431269
"9993",1,95,"linear",90,"KAL","ExpectedImp",121.619260864023,6.58527455503261e+52,0.78432445358841,11.34363356907,NA,0.175603072310239
"9994",1,95,"linear",90,"GP","ExpectedImp",122.03012094072,9.93134686717397e+52,0.906788223393143,13.5065356854774,NA,0.0031674591704226
"9995",1,95,"linear",110,"MEB","UCB",149.764077304318,1.10080998596167e+65,NA,0.377898004275751,0.00673851356092364,0
"9996",1,95,"linear",110,"KAL","UCB",149.764136737709,1.10087541277591e+65,0.00895297690278414,0.3739075402485,0.00675143408275273,0
"9997",1,95,"linear",110,"GP","UCB",146.776615931606,5.5497621610855e+63,3.92582007999182,8.79416181243077,2.271432331862,0.227883683837634
"9998",1,95,"linear",110,"MEB","Thompon",148.559446332046,3.30025711946627e+64,NA,1.06045557779708,NA,0
"9999",1,95,"linear",110,"KAL","Thompon",148.080566842331,2.04443382038064e+64,3.11842948344217,2.98208829334691,NA,0.0410381201968246
"10000",1,95,"linear",110,"GP","Thompon",145.280068250229,1.24260178059326e+63,0.0455453772568728,6.92208202041892,NA,0
"10001",1,95,"linear",110,"MEB","ProbOfImp",149.24398599031,6.54394397960887e+64,NA,148.336775760658,NA,0
"10002",1,95,"linear",110,"KAL","ProbOfImp",149.24367854326,6.54193237258411e+64,114.49327837723,143.107440883578,NA,0
"10003",1,95,"linear",110,"GP","ProbOfImp",149.071192293479,5.50549311421025e+64,1.60194420291102,5.69649350713346,NA,0
"10004",1,95,"linear",110,"MEB","ExpectedImp",147.746924640841,1.46444845334311e+64,NA,14.1166835490855,NA,0
"10005",1,95,"linear",110,"KAL","ExpectedImp",147.754454619078,1.47551734026365e+64,0.0608401828383343,13.6697678450071,NA,0
